source,target,weight,source_community,target_community
104,21,20.933192346640457,103,62
104,79,21.30994959394633,103,103
104,11,23.76407299505805,103,62
104,52,21.585694763313093,103,103
104,12,22.14448701181891,103,62
21,28,32.322524219339904,62,62
21,11,48.40702996199019,62,62
21,37,24.37090250532431,62,62
21,40,32.35092522005943,62,62
21,38,20.501743858149062,62,62
21,39,28.074400427611117,62,62
21,12,62.167895042923824,62,62
28,11,59.67328948689907,62,62
28,52,25.67647418219353,62,103
28,12,45.91465123552504,62,62
28,37,32.62377908692168,62,62
28,38,20.444792111689296,62,62
28,94,24.35477291784809,62,62
28,39,26.29146633095843,62,62
28,97,21.788893442838376,62,62
11,94,21.6722646057341,62,62
11,12,80.4485421720991,62,62
11,52,47.38627215537402,62,103
11,15,28.723178220098205,62,62
11,37,48.1136690894626,62,62
11,105,22.82841216302881,62,62
11,40,28.15902333873328,62,62
11,38,31.58127774617085,62,62
11,39,40.95142172605998,62,62
11,97,23.711346281144564,62,62
37,52,31.18349509959109,62,103
37,12,30.728425581793207,62,62
37,40,24.228201856682706,62,62
37,38,54.00592956009751,62,62
37,39,32.81595165036012,62,62
40,12,38.95749217569616,62,62
40,38,26.468391555977576,62,62
40,39,53.17990345536856,62,62
38,12,25.22293164314289,62,62
38,39,34.58709265871981,62,62
39,52,28.356535431019815,62,103
39,12,29.299880033528957,62,62
12,52,26.748821548289044,62,103
12,94,25.613903617043626,62,62
12,97,25.185135956324604,62,62
12,103,24.673147548722167,62,102
12,98,25.000233473145794,62,62
12,92,27.71554342863794,62,102
68,69,37.14658992420456,9,9
67,44,23.19190040565183,62,62
67,19,22.596885929311604,62,62
67,15,26.729771309673534,62,62
67,53,31.658709317460826,62,103
67,18,37.40149646160739,62,62
67,59,25.13313076574851,62,62
44,15,50.56672861589973,62,62
44,19,24.80008942291756,62,62
44,1,26.61371372468893,62,62
44,18,28.01067925660409,62,62
44,14,24.39914442262329,62,62
44,56,32.94744601093195,62,62
15,51,30.34794743352026,62,62
15,102,22.40615464900445,62,103
15,1,66.67420569975171,62,62
15,0,44.23362023021944,62,103
15,8,47.49277338891457,62,62
15,14,57.84183152642191,62,62
15,56,20.62957734085586,62,62
15,59,28.87017059988903,62,62
15,25,24.68172813218768,62,103
15,18,46.619090898232265,62,62
15,70,36.79192549817867,62,103
15,19,35.71297781108102,62,62
15,108,21.153243249312748,62,62
19,49,29.097834547698525,62,102
19,1,27.010622489444646,62,62
19,0,21.35568889023083,62,103
19,14,22.91619071652686,62,62
19,53,20.23026605428928,62,103
19,31,26.36926476163211,62,62
19,18,65.07025912410015,62,62
19,93,25.909942488756776,62,62
1,51,22.210413043130057,62,62
1,102,24.71031260188158,62,103
1,112,20.85572142496804,62,62
1,0,126.57112712972764,62,103
1,14,75.53660009612221,62,62
1,8,87.13826986156899,62,62
1,70,31.56405510257182,62,103
1,24,25.340535324481124,62,62
1,59,31.264824668848835,62,62
1,25,40.96336126549837,62,103
1,18,51.447604909108925,62,62
18,0,45.66104087971069,62,103
