source,target,weight,source_community,target_community
104,21,20.933192346640457,52,52
104,79,21.30994959394633,52,15
104,11,23.76407299505805,52,52
104,52,21.585694763313093,52,15
104,12,22.14448701181891,52,52
21,28,32.322524219339904,52,52
21,11,48.40702996199019,52,52
21,37,24.37090250532431,52,52
21,40,32.35092522005943,52,52
21,38,20.501743858149062,52,52
21,39,28.074400427611117,52,52
21,12,62.167895042923824,52,52
28,11,59.67328948689907,52,52
28,52,25.67647418219353,52,15
28,12,45.91465123552504,52,52
28,37,32.62377908692168,52,52
28,38,20.444792111689296,52,52
28,94,24.35477291784809,52,52
28,39,26.29146633095843,52,52
28,97,21.788893442838376,52,52
11,94,21.6722646057341,52,52
11,12,80.4485421720991,52,52
11,52,47.38627215537402,52,15
11,15,28.723178220098205,52,47
11,37,48.1136690894626,52,52
11,105,22.82841216302881,52,15
11,40,28.15902333873328,52,52
11,38,31.58127774617085,52,52
11,39,40.95142172605998,52,52
11,97,23.711346281144564,52,52
37,52,31.18349509959109,52,15
37,12,30.728425581793207,52,52
37,40,24.228201856682706,52,52
37,38,54.00592956009751,52,52
37,39,32.81595165036012,52,52
40,12,38.95749217569616,52,52
40,38,26.468391555977576,52,52
40,39,53.17990345536856,52,52
38,12,25.22293164314289,52,52
38,39,34.58709265871981,52,52
39,52,28.356535431019815,52,15
39,12,29.299880033528957,52,52
12,52,26.748821548289044,52,15
12,94,25.613903617043626,52,52
12,97,25.185135956324604,52,52
12,103,24.673147548722167,52,52
12,98,25.000233473145794,52,52
12,92,27.71554342863794,52,52
68,69,37.14658992420456,10,10
67,44,23.19190040565183,52,41
67,19,22.596885929311604,52,47
67,15,26.729771309673534,52,47
67,53,31.658709317460826,52,15
67,18,37.40149646160739,52,47
67,59,25.13313076574851,52,47
44,15,50.56672861589973,41,47
44,19,24.80008942291756,41,47
44,1,26.61371372468893,41,41
44,18,28.01067925660409,41,47
44,14,24.39914442262329,41,41
44,56,32.94744601093195,41,52
15,51,30.34794743352026,47,47
15,102,22.40615464900445,47,52
15,1,66.67420569975171,47,41
15,0,44.23362023021944,47,47
15,8,47.49277338891457,47,41
15,14,57.84183152642191,47,41
15,56,20.62957734085586,47,52
15,59,28.87017059988903,47,47
15,25,24.68172813218768,47,41
15,18,46.619090898232265,47,47
15,70,36.79192549817867,47,47
15,19,35.71297781108102,47,47
15,108,21.153243249312748,47,47
19,49,29.097834547698525,47,47
19,1,27.010622489444646,47,41
19,0,21.35568889023083,47,47
19,14,22.91619071652686,47,41
19,53,20.23026605428928,47,15
19,31,26.36926476163211,47,41
19,18,65.07025912410015,47,47
19,93,25.909942488756776,47,41
1,51,22.210413043130057,41,47
1,102,24.71031260188158,41,52
1,112,20.85572142496804,41,47
1,0,126.57112712972764,41,47
1,14,75.53660009612221,41,41
1,8,87.13826986156899,41,41
1,70,31.56405510257182,41,47
1,24,25.340535324481124,41,52
1,59,31.264824668848835,41,47
1,25,40.96336126549837,41,41
1,18,51.447604909108925,41,47
18,0,45.66104087971069,47,47
18,8,32.350506919162136,47,41
18,14,47.3281575555596,47,41
18,53,45.88473321024233,47,15
18,59,41.03704549651282,47,47
14,51,39.37662666227728,41,47
14,0,59.75548884052987,41,47
14,8,47.00636375705097,41,41
14,70,20.23882304372428,41,47
14,30,42.73172932305638,41,15
14,17,33.56735910485145,41,52
14,25,23.782469883653217,41,41
56,72,25.049498396111403,52,11
56,57,42.721668458812765,52,52
111,79,21.31860679884144,15,15
79,99,24.98353120101788,15,15
79,78,32.198071014100535,15,52
99,78,24.554202817668248,15,52
99,77,23.602587607535277,15,52
78,91,28.375405907346195,52,52
78,77,26.52860759980952,52,52
6,41,39.77803622570551,52,52
6,7,87.21964246099864,52,52
6,81,30.341581071883272,52,52
6,13,78.75928046651394,52,52
6,32,57.15857405623158,52,31
6,48,46.36509077387072,52,52
41,75,33.661083176336234,52,52
41,42,50.984730766476574,52,11
42,9,26.04945930410044,11,41
42,10,23.201095658265963,11,52
42,2,32.52356510452292,11,67
42,3,43.954259225314345,11,67
42,62,21.619803035260286,11,67
42,60,25.11618282046237,11,52
42,20,25.041214810765112,11,52
66,80,31.03648178393663,41,41
66,65,38.87998222920348,41,41
65,51,26.032697164489267,41,47
51,86,29.840445766924983,47,47
51,17,31.62020230471286,47,52
51,31,31.510711170360768,47,41
51,25,20.42587841667116,47,41
51,70,24.153685861107466,47,47
51,29,24.43382880528071,47,52
51,30,47.56352702530362,47,15
51,52,20.11309966430225,47,15
51,8,23.082664020750425,47,41
17,29,31.924272588963444,52,52
17,31,22.3209731892725,52,41
17,30,55.19274755197871,52,15
17,22,61.53102297253567,52,67
17,25,24.9979588147436,52,41
17,16,65.12985505970208,52,52
31,87,20.22800685545149,41,41
31,29,48.76806081178149,41,52
31,30,58.65780661217398,41,15
31,93,22.85555700027764,41,41
31,76,33.554731128787694,41,41
25,0,23.639529235488705,41,47
25,8,32.070376656092115,41,41
25,24,60.5459411279876,41,52
25,70,20.18548801090922,41,47
70,8,26.230983374393585,47,41
29,16,21.543458417676824,52,52
29,30,58.829076622959285,52,15
30,22,22.16325031188543,15,67
30,16,23.40192325369395,15,52
8,59,22.2164407540198,41,47
8,24,20.92318766828214,41,52
8,108,22.16103641345508,41,47
50,49,48.583173464083416,41,47
50,64,21.080478447912995,41,31
50,76,27.473141406934243,41,41
49,64,28.16821301315872,47,31
64,63,38.88811575032741,31,31
64,34,27.70879277472438,31,52
64,95,25.357412874239948,31,31
64,81,23.41281493970028,31,52
64,85,29.894342585346926,31,31
64,101,21.131792917374074,31,52
64,84,29.945400773839896,31,31
64,46,21.17036044400364,31,41
43,27,50.79184563415286,44,44
43,26,21.62593446217338,44,44
43,106,22.757440009799737,44,44
27,26,59.82678558413366,44,44
72,107,22.175589109335288,11,52
72,2,21.646667877763228,11,67
72,3,26.11759862631264,11,67
72,71,33.69066907565828,11,67
94,55,21.82760476470736,52,52
94,54,22.717442387504864,52,52
63,101,24.71706557378606,31,52
63,34,27.09695712998492,31,52
34,77,23.075440145975143,52,52
34,33,56.20246391729147,52,52
10,9,80.89104614147385,52,41
10,83,30.144660032562147,52,52
10,46,24.301045666206715,52,41
9,46,22.320432253935472,41,41
9,90,28.403647769064776,41,52
46,45,49.90594295368325,41,41
46,58,25.251371861419308,41,41
46,82,30.27077436735024,41,41
46,89,28.53574785327096,41,41
53,88,28.79989665496036,15,15
59,100,24.9192961821526,47,52
77,61,33.47708077913068,52,67
45,58,42.33664313992495,41,41
45,93,22.48925264318247,41,41
93,76,26.28018174137368,41,41
93,5,25.69011032907274,41,52
93,4,21.79517505760149,41,52
61,96,25.314659453818305,67,52
61,2,34.100052024791246,67,67
61,20,24.933802259856545,67,52
61,3,39.53022984092444,67,67
76,87,29.349098676116647,41,41
47,35,45.26074988295236,78,78
47,36,49.61621727834464,78,78
35,36,54.50523562629742,78,78
16,22,25.480581476491025,52,67
62,2,39.4069459855106,67,67
62,20,24.06449025192885,67,52
62,3,30.61333985121873,67,67
2,23,30.232903706376277,67,52
2,71,21.210956925188103,67,67
2,20,64.10989821309226,67,52
2,60,39.90817378554484,67,52
2,3,103.26828446355265,67,67
23,3,57.04039265671136,52,67
23,20,60.61682620955685,52,52
71,3,20.16560629687762,67,67
20,60,27.964591852574834,52,52
20,3,63.33021731315284,52,67
60,3,39.812105148516856,52,67
7,32,36.02337467321895,52,31
7,13,79.08853577916759,52,52
7,48,48.62033486702057,52,52
81,13,24.763189829170084,52,52
81,84,20.860246776482484,52,31
13,32,47.97788760375011,52,31
13,48,43.41882511710604,52,52
32,48,34.71286507120063,31,52
84,113,20.24069060325144,31,31
82,89,23.21869703965049,41,41
89,114,20.021932698311588,41,52
55,54,45.06151433906438,52,52
109,110,21.364077886249937,108,108
5,4,95.36131071220332,52,52
73,74,33.685943095200074,113,113
