source,target,weight,source_community,target_community
104,21,20.933192346640457,33,33
104,79,21.30994959394633,33,82
104,11,23.76407299505805,33,33
104,52,21.585694763313093,33,33
104,12,22.14448701181891,33,33
21,28,32.322524219339904,33,33
21,11,48.40702996199019,33,33
21,37,24.37090250532431,33,33
21,40,32.35092522005943,33,33
21,38,20.501743858149062,33,33
21,39,28.074400427611117,33,33
21,12,62.167895042923824,33,33
28,11,59.67328948689907,33,33
28,52,25.67647418219353,33,33
28,12,45.91465123552504,33,33
28,37,32.62377908692168,33,33
28,38,20.444792111689296,33,33
28,94,24.35477291784809,33,33
28,39,26.29146633095843,33,33
28,97,21.788893442838376,33,33
11,94,21.6722646057341,33,33
11,12,80.4485421720991,33,33
11,52,47.38627215537402,33,33
11,15,28.723178220098205,33,82
11,37,48.1136690894626,33,33
11,105,22.82841216302881,33,82
11,40,28.15902333873328,33,33
11,38,31.58127774617085,33,33
11,39,40.95142172605998,33,33
11,97,23.711346281144564,33,33
37,52,31.18349509959109,33,33
37,12,30.728425581793207,33,33
37,40,24.228201856682706,33,33
37,38,54.00592956009751,33,33
37,39,32.81595165036012,33,33
40,12,38.95749217569616,33,33
40,38,26.468391555977576,33,33
40,39,53.17990345536856,33,33
38,12,25.22293164314289,33,33
38,39,34.58709265871981,33,33
39,52,28.356535431019815,33,33
39,12,29.299880033528957,33,33
12,52,26.748821548289044,33,33
12,94,25.613903617043626,33,33
12,97,25.185135956324604,33,33
12,103,24.673147548722167,33,33
12,98,25.000233473145794,33,33
12,92,27.71554342863794,33,33
68,69,37.14658992420456,10,10
67,44,23.19190040565183,82,82
67,19,22.596885929311604,82,82
67,15,26.729771309673534,82,82
67,53,31.658709317460826,82,82
67,18,37.40149646160739,82,82
67,59,25.13313076574851,82,82
44,15,50.56672861589973,82,82
44,19,24.80008942291756,82,82
44,1,26.61371372468893,82,82
44,18,28.01067925660409,82,82
44,14,24.39914442262329,82,82
44,56,32.94744601093195,82,33
15,51,30.34794743352026,82,82
15,102,22.40615464900445,82,82
15,1,66.67420569975171,82,82
15,0,44.23362023021944,82,82
15,8,47.49277338891457,82,82
15,14,57.84183152642191,82,82
15,56,20.62957734085586,82,33
15,59,28.87017059988903,82,82
15,25,24.68172813218768,82,82
15,18,46.619090898232265,82,82
15,70,36.79192549817867,82,33
15,19,35.71297781108102,82,82
15,108,21.153243249312748,82,82
19,49,29.097834547698525,82,82
19,1,27.010622489444646,82,82
19,0,21.35568889023083,82,82
19,14,22.91619071652686,82,82
19,53,20.23026605428928,82,82
19,31,26.36926476163211,82,82
19,18,65.07025912410015,82,82
19,93,25.909942488756776,82,33
1,51,22.210413043130057,82,82
1,102,24.71031260188158,82,82
1,112,20.85572142496804,82,82
1,0,126.57112712972764,82,82
1,14,75.53660009612221,82,82
1,8,87.13826986156899,82,82
1,70,31.56405510257182,82,33
1,24,25.340535324481124,82,82
1,59,31.264824668848835,82,82
1,25,40.96336126549837,82,82
1,18,51.447604909108925,82,82
18,0,45.66104087971069,82,82
18,8,32.350506919162136,82,82
18,14,47.3281575555596,82,82
18,53,45.88473321024233,82,82
18,59,41.03704549651282,82,82
14,51,39.37662666227728,82,82
14,0,59.75548884052987,82,82
14,8,47.00636375705097,82,82
14,70,20.23882304372428,82,33
14,30,42.73172932305638,82,82
14,17,33.56735910485145,82,82
14,25,23.782469883653217,82,82
56,72,25.049498396111403,33,33
56,57,42.721668458812765,33,33
111,79,21.31860679884144,82,82
79,99,24.98353120101788,82,33
79,78,32.198071014100535,82,82
99,78,24.554202817668248,33,82
99,77,23.602587607535277,33,33
78,91,28.375405907346195,82,82
78,77,26.52860759980952,82,33
6,41,39.77803622570551,82,33
6,7,87.21964246099864,82,33
6,81,30.341581071883272,82,33
6,13,78.75928046651394,82,33
6,32,57.15857405623158,82,82
6,48,46.36509077387072,82,82
41,75,33.661083176336234,33,33
41,42,50.984730766476574,33,82
42,9,26.04945930410044,82,82
42,10,23.201095658265963,82,82
42,2,32.52356510452292,82,82
42,3,43.954259225314345,82,33
42,62,21.619803035260286,82,82
42,60,25.11618282046237,82,82
42,20,25.041214810765112,82,82
66,80,31.03648178393663,82,82
66,65,38.87998222920348,82,82
65,51,26.032697164489267,82,82
51,86,29.840445766924983,82,82
51,17,31.62020230471286,82,82
51,31,31.510711170360768,82,82
51,25,20.42587841667116,82,82
51,70,24.153685861107466,82,33
51,29,24.43382880528071,82,82
51,30,47.56352702530362,82,82
51,52,20.11309966430225,82,33
51,8,23.082664020750425,82,82
17,29,31.924272588963444,82,82
17,31,22.3209731892725,82,82
17,30,55.19274755197871,82,82
17,22,61.53102297253567,82,82
17,25,24.9979588147436,82,82
17,16,65.12985505970208,82,82
31,87,20.22800685545149,82,82
31,29,48.76806081178149,82,82
31,30,58.65780661217398,82,82
31,93,22.85555700027764,82,33
31,76,33.554731128787694,82,82
25,0,23.639529235488705,82,82
25,8,32.070376656092115,82,82
25,24,60.5459411279876,82,82
25,70,20.18548801090922,82,33
70,8,26.230983374393585,33,82
29,16,21.543458417676824,82,82
29,30,58.829076622959285,82,82
30,22,22.16325031188543,82,82
30,16,23.40192325369395,82,82
8,59,22.2164407540198,82,82
8,24,20.92318766828214,82,82
8,108,22.16103641345508,82,82
