source,target,weight,source_community,target_community
104,21,20.933192346640457,28,28
104,79,21.30994959394633,28,103
104,11,23.76407299505805,28,28
104,52,21.585694763313093,28,28
104,12,22.14448701181891,28,28
21,28,32.322524219339904,28,28
21,11,48.40702996199019,28,28
21,37,24.37090250532431,28,28
21,40,32.35092522005943,28,28
21,38,20.501743858149062,28,28
21,39,28.074400427611117,28,28
21,12,62.167895042923824,28,28
28,11,59.67328948689907,28,28
28,52,25.67647418219353,28,28
28,12,45.91465123552504,28,28
28,37,32.62377908692168,28,28
28,38,20.444792111689296,28,28
28,94,24.35477291784809,28,28
28,39,26.29146633095843,28,28
28,97,21.788893442838376,28,28
11,94,21.6722646057341,28,28
11,12,80.4485421720991,28,28
11,52,47.38627215537402,28,28
11,15,28.723178220098205,28,72
11,37,48.1136690894626,28,28
11,105,22.82841216302881,28,28
11,40,28.15902333873328,28,28
11,38,31.58127774617085,28,28
11,39,40.95142172605998,28,28
11,97,23.711346281144564,28,28
37,52,31.18349509959109,28,28
37,12,30.728425581793207,28,28
37,40,24.228201856682706,28,28
37,38,54.00592956009751,28,28
37,39,32.81595165036012,28,28
40,12,38.95749217569616,28,28
40,38,26.468391555977576,28,28
40,39,53.17990345536856,28,28
38,12,25.22293164314289,28,28
38,39,34.58709265871981,28,28
39,52,28.356535431019815,28,28
39,12,29.299880033528957,28,28
12,52,26.748821548289044,28,28
12,94,25.613903617043626,28,28
12,97,25.185135956324604,28,28
12,103,24.673147548722167,28,28
12,98,25.000233473145794,28,28
12,92,27.71554342863794,28,28
68,69,37.14658992420456,10,10
67,44,23.19190040565183,72,28
67,19,22.596885929311604,72,72
67,15,26.729771309673534,72,72
67,53,31.658709317460826,72,28
67,18,37.40149646160739,72,72
67,59,25.13313076574851,72,72
44,15,50.56672861589973,28,72
44,19,24.80008942291756,28,72
44,1,26.61371372468893,28,72
44,18,28.01067925660409,28,72
44,14,24.39914442262329,28,72
44,56,32.94744601093195,28,28
15,51,30.34794743352026,72,28
15,102,22.40615464900445,72,72
15,1,66.67420569975171,72,72
15,0,44.23362023021944,72,72
15,8,47.49277338891457,72,28
15,14,57.84183152642191,72,72
15,56,20.62957734085586,72,28
15,59,28.87017059988903,72,72
15,25,24.68172813218768,72,72
15,18,46.619090898232265,72,72
15,70,36.79192549817867,72,103
15,19,35.71297781108102,72,72
15,108,21.153243249312748,72,28
19,49,29.097834547698525,72,72
19,1,27.010622489444646,72,72
19,0,21.35568889023083,72,72
19,14,22.91619071652686,72,72
19,53,20.23026605428928,72,28
19,31,26.36926476163211,72,28
19,18,65.07025912410015,72,72
19,93,25.909942488756776,72,72
1,51,22.210413043130057,72,28
1,102,24.71031260188158,72,72
1,112,20.85572142496804,72,103
1,0,126.57112712972764,72,72
1,14,75.53660009612221,72,72
1,8,87.13826986156899,72,28
1,70,31.56405510257182,72,103
1,24,25.340535324481124,72,72
1,59,31.264824668848835,72,72
1,25,40.96336126549837,72,72
1,18,51.447604909108925,72,72
18,0,45.66104087971069,72,72
18,8,32.350506919162136,72,28
18,14,47.3281575555596,72,72
18,53,45.88473321024233,72,28
18,59,41.03704549651282,72,72
14,51,39.37662666227728,72,28
14,0,59.75548884052987,72,72
14,8,47.00636375705097,72,28
14,70,20.23882304372428,72,103
14,30,42.73172932305638,72,72
14,17,33.56735910485145,72,72
14,25,23.782469883653217,72,72
56,72,25.049498396111403,28,28
56,57,42.721668458812765,28,72
111,79,21.31860679884144,103,103
79,99,24.98353120101788,103,103
79,78,32.198071014100535,103,103
99,78,24.554202817668248,103,103
99,77,23.602587607535277,103,103
78,91,28.375405907346195,103,103
78,77,26.52860759980952,103,103
6,41,39.77803622570551,28,103
6,7,87.21964246099864,28,28
6,81,30.341581071883272,28,103
6,13,78.75928046651394,28,28
6,32,57.15857405623158,28,28
6,48,46.36509077387072,28,28
41,75,33.661083176336234,103,72
41,42,50.984730766476574,103,103
42,9,26.04945930410044,103,28
42,10,23.201095658265963,103,72
42,2,32.52356510452292,103,72
42,3,43.954259225314345,103,72
42,62,21.619803035260286,103,72
42,60,25.11618282046237,103,72
42,20,25.041214810765112,103,72
66,80,31.03648178393663,28,28
66,65,38.87998222920348,28,28
65,51,26.032697164489267,28,28
51,86,29.840445766924983,28,28
51,17,31.62020230471286,28,72
51,31,31.510711170360768,28,28
51,25,20.42587841667116,28,72
51,70,24.153685861107466,28,103
51,29,24.43382880528071,28,28
51,30,47.56352702530362,28,72
51,52,20.11309966430225,28,28
51,8,23.082664020750425,28,28
17,29,31.924272588963444,72,28
17,31,22.3209731892725,72,28
17,30,55.19274755197871,72,72
17,22,61.53102297253567,72,72
17,25,24.9979588147436,72,72
17,16,65.12985505970208,72,72
31,87,20.22800685545149,28,72
31,29,48.76806081178149,28,28
31,30,58.65780661217398,28,72
31,93,22.85555700027764,28,72
31,76,33.554731128787694,28,72
25,0,23.639529235488705,72,72
25,8,32.070376656092115,72,28
25,24,60.5459411279876,72,72
25,70,20.18548801090922,72,103
70,8,26.230983374393585,103,28
29,16,21.543458417676824,28,72
29,30,58.829076622959285,28,72
30,22,22.16325031188543,72,72
30,16,23.40192325369395,72,72
8,59,22.2164407540198,28,72
8,24,20.92318766828214,28,72
8,108,22.16103641345508,28,28
50,49,48.583173464083416,72,72
50,64,21.080478447912995,72,103
50,76,27.473141406934243,72,72
49,64,28.16821301315872,72,103
64,63,38.88811575032741,103,72
64,34,27.70879277472438,103,103
64,95,25.357412874239948,103,72
64,81,23.41281493970028,103,103
64,85,29.894342585346926,103,103
64,101,21.131792917374074,103,72
64,84,29.945400773839896,103,72
64,46,21.17036044400364,103,103
43,27,50.79184563415286,83,83
43,26,21.62593446217338,83,83
43,106,22.757440009799737,83,83
27,26,59.82678558413366,83,83
72,107,22.175589109335288,28,72
72,2,21.646667877763228,28,72
