source,target,weight,source_community,target_community
72,3,26.11759862631264,28,72
72,71,33.69066907565828,28,72
94,55,21.82760476470736,28,103
94,54,22.717442387504864,28,28
63,101,24.71706557378606,72,72
63,34,27.09695712998492,72,103
34,77,23.075440145975143,103,103
34,33,56.20246391729147,103,103
10,9,80.89104614147385,72,28
10,83,30.144660032562147,72,72
10,46,24.301045666206715,72,103
9,46,22.320432253935472,28,103
9,90,28.403647769064776,28,28
46,45,49.90594295368325,103,103
46,58,25.251371861419308,103,103
46,82,30.27077436735024,103,103
46,89,28.53574785327096,103,103
53,88,28.79989665496036,28,28
59,100,24.9192961821526,72,28
77,61,33.47708077913068,103,103
45,58,42.33664313992495,103,103
45,93,22.48925264318247,103,72
93,76,26.28018174137368,72,72
93,5,25.69011032907274,72,72
93,4,21.79517505760149,72,72
61,96,25.314659453818305,103,103
61,2,34.100052024791246,103,72
61,20,24.933802259856545,103,72
61,3,39.53022984092444,103,72
76,87,29.349098676116647,72,72
47,35,45.26074988295236,80,80
47,36,49.61621727834464,80,80
35,36,54.50523562629742,80,80
16,22,25.480581476491025,72,72
62,2,39.4069459855106,72,72
62,20,24.06449025192885,72,72
62,3,30.61333985121873,72,72
2,23,30.232903706376277,72,103
2,71,21.210956925188103,72,72
2,20,64.10989821309226,72,72
2,60,39.90817378554484,72,72
2,3,103.26828446355265,72,72
23,3,57.04039265671136,103,72
23,20,60.61682620955685,103,72
71,3,20.16560629687762,72,72
20,60,27.964591852574834,72,72
20,3,63.33021731315284,72,72
60,3,39.812105148516856,72,72
7,32,36.02337467321895,28,28
7,13,79.08853577916759,28,28
7,48,48.62033486702057,28,28
81,13,24.763189829170084,103,28
81,84,20.860246776482484,103,72
13,32,47.97788760375011,28,28
13,48,43.41882511710604,28,28
32,48,34.71286507120063,28,28
84,113,20.24069060325144,72,103
82,89,23.21869703965049,103,103
89,114,20.021932698311588,103,103
55,54,45.06151433906438,103,28
109,110,21.364077886249937,108,108
5,4,95.36131071220332,72,72
73,74,33.685943095200074,114,114
